Company Name,Industry group,ISIN code,NSE symbol,Date,Total income from continuing operations,Net sales,Total expenses,Interest expenses,Depreciation,Total tax provision,Net Profit/(Loss) for the period from continuing operations (after tax),Reported Profit after tax,PBT,PBDT,PBDIT,PBIT net of P&E,Earnings per share before extraordinary item,Closing Price,Date.1,Closing Price.1,Shares Outstanding,Market Capitalisation,EPS,P/E,Number of Transactions,Enterprise value,Industry P/E,Beta,industry_score
General Insurance Corpn. Of India,Insurance services,INE481Y01014,GICRE,31-12-2022,11563.33,8648.76,10364.34,6.715,13.67,96.09,39.055,1198.99,1295.08,1295.08,1295.08,96.09,6.83,365.5,,184.05,1754400000,32289.732,34.651619,5.31144,2001,5158.883983,22.59,1.17413,0.677920965378867
Genesys International Corpn. Ltd.,Computer software,INE727B01026,GENESYS,31-12-2022,55.88,54.07,42.26,0.35,3.24,3.7,13.62,13.62,17.32,20.56,20.91,17.73,3.89,427.85,,432.1,36971124,1597.522268,5.880265,73.483085,118,1604.392268,29.01,1.628607,-0.22129977102466347
Gensol Engineering Ltd.,Wholesale trading,INE06H201014,GENSOL,31-12-2022,48.59,45.95,46.12,6.0,6.88,5.33,-1.07,-1.07,4.26,11.14,17.14,10.25,-0.3,27.45,,961.85,12218916,1175.276435,15.77063,60.989955,247,1239.086435,116.56,0.401378,-0.23739051576619835
Genus Power Infrastructures Ltd.,Miscellaneous manufactured articles,INE955D01029,GENUSPOWER,31-12-2022,208.76,200.4,199.42,7.57,4.69,4.95,11.64,11.64,16.59,21.28,28.85,24.02,0.45,302.35,,92.75,257595460,2389.197891,1.270597,72.997186,1101,2597.317891,53.2,1.514219,-0.12882153872407026
Gillette India Ltd.,Other consumer goods,INE322A01010,GILLETTE,31-12-2022,621.55,618.62,575.27,3.35,19.19,30.93,74.45,74.45,105.38,124.57,127.92,109.78,22.85,7986.55,,4895.95,32585217,15953.559317,94.288155,51.925398,58,15662.609317,43.38,0.450602,-0.2617559110787527
Gland Pharma Ltd.,Drugs & pharmaceuticals,INE068V01023,GLAND,31-12-2022,987.41,925.9,775.72,2.62,37.61,77.7,227.54,227.54,305.24,342.85,345.47,307.86,13.82,1671.05,,1300.2,164690223,21413.022794,59.477119,21.860507,2058,18134.552794,39.53,0.774599,-0.19195911292555537
Glaxosmithkline Pharmaceuticals Ltd.,Drugs & pharmaceuticals,INE159A01016,GLAXO,31-12-2022,822.71,799.11,543.91,0.09,16.41,59.5,164.03,164.03,223.53,239.94,240.03,234.99,10.19,2534.6,,1246.7,169406034,21119.850259,31.691905,39.338121,829,18661.750259,39.53,0.613368,-0.19195911292555537
Glenmark Pharmaceuticals Ltd.,Drugs & pharmaceuticals,INE935A01035,GLENMARK,31-12-2022,2413.7,2161.47,1947.02,55.72,46.22,158.63,430.5,430.5,589.13,635.35,691.07,482.35,15.26,1990.75,,384.25,282168156,10842.311394,49.264241,7.799775,1338,9880.791394,39.53,1.035495,-0.19195911292555537
Global Health Ltd.,Health services,INE474Q01031,MEDANTA,31-12-2022,502.32,489.79,442.6,6.49,21.62,21.12,58.77,58.77,79.89,101.51,108.0,86.38,2.25,1169.05,,445.05,268184882,11935.568173,8.755154,50.832914,654,11804.488173,69.86,1.31554,-0.1320225855676107
Globus Spirits Ltd.,Alcoholic beverages,INE615I01010,GLOBUSSPR,31-12-2022,593.64,592.4,572.92,5.04,14.92,13.14,26.94,26.94,40.08,55.0,60.04,45.12,9.35,985.25,,801.7,28802749,2309.116387,46.554584,17.220646,1058,2395.546387,58.85,1.284523,-0.20907155538278388
