Company Name,Industry group,ISIN code,NSE symbol,Date,Total income from continuing operations,Net sales,Total expenses,Interest expenses,Depreciation,Total tax provision,Net Profit/(Loss) for the period from continuing operations (after tax),Reported Profit after tax,PBT,PBDT,PBDIT,PBIT net of P&E,Earnings per share before extraordinary item,Closing Price,Date.1,Closing Price.1,Shares Outstanding,Market Capitalisation,EPS,P/E,Number of Transactions,Enterprise value,Industry P/E,Beta,industry_score
Jaiprakash Associates Ltd.,Other construction & allied activities,INE455F01025,JPASSOCIAT,31-12-2022,1042.91,983.84,1162.02,240.54,59.13,6.86,-120.0,-211.63,-204.77,-145.64,94.9,127.4,-0.86,4.11,,9.09,2454595640,2231.227437,-4.435069,30.7236545,4766,8955.507437,-7779.86,1.394255,-0.22243749499819718
Jaiprakash Power Ventures Ltd.,Conventional electricity,INE351F01018,JPPOWER,31-12-2022,1206.01,1201.05,1667.91,135.31,117.14,-90.57,-216.91,-216.91,-307.48,-190.34,-55.03,-102.32,-0.2,17.95,,7.16,6853458827,4907.07652,0.201344,35.561102,7833,13729.27652,12.17,1.555472,-0.03716679162073462
Jammu & Kashmir Bank Ltd.,Banking services,INE168A01041,J&KBANK,31-12-2022,2682.67,2440.82,2371.08,1183.44,13.67,205.47,311.59,311.59,517.06,517.06,1700.5,1700.5,3.24,98.5,,54.95,961479861,5283.331836,8.448643,6.504003,5113,-6822.178164,18.44,1.453077,0.17737526706292647
Jamna Auto Inds. Ltd.,Other automobile ancillaries,INE039C01032,JAMNAAUTO,31-12-2022,561.71,560.48,517.3,0.54,9.33,12.51,35.54,35.54,48.05,57.38,57.92,48.59,0.89,125.9,,104.7,398622885,4173.581606,3.98221,26.291934,622,4324.031606,38.68,1.511746,-0.25847999501499275
Jayaswal Neco Inds. Ltd.,Steel,INE854B01010,JAYNECOIND,31-12-2022,1690.53,1685.58,1617.33,114.05,66.38,-8.17,57.68,57.68,49.51,115.89,229.94,214.11,1.11,76.39,,22.5,970998244,2184.746049,7.061702,3.186201,482,5843.836049,13.6,1.504933,-0.3195550430372759
Jindal Poly Films Ltd.,Other textiles,INE197D01010,JINDALPOLY,31-12-2022,226.71,134.0,170.99,10.41,11.57,23.98,40.0,40.0,63.98,75.55,85.96,61.12,9.14,480.1,,716.55,43786413,3137.515424,243.808507,2.938987,161,3524.755424,7.64,1.260918,-0.1978037032812153
Jindal Saw Ltd.,Steel pipes & tubes,INE324A01032,JINDALSAW,31-12-2022,4640.85,4478.51,4377.55,137.94,93.73,101.25,265.53,265.53,366.78,460.51,598.45,504.72,8.36,161.05,,125.05,319754117,3998.525233,15.404649,8.117679,5901,8228.835233,31.67,1.735579,-0.2615999515821926
Jindal Stainless (Hisar) Ltd. [Merged],Steel,INE455T01018,JSLHISAR,31-12-2022,3794.22,3765.43,3681.77,18.86,48.69,76.36,223.58,223.58,299.94,348.63,367.49,318.56,9.48,560.75,,459.3,235934685,10836.480082,40.481543,11.345912,677,9043.470082,13.6,1.828462,-0.3195550430372759
Jindal Stainless Ltd.,Steel,INE220G01021,JSL,31-12-2022,9031.27,9001.3,9435.71,67.54,169.18,188.56,551.98,551.98,740.54,909.72,977.26,807.84,6.7,802.85,,255.05,525495468,13402.761911,59.291853,4.301603,1865,16600.391911,13.6,1.527214,-0.3195550430372759
Jindal Steel Ltd.,Other ferrous metal products,INE749A01030,JINDALSTEL,31-12-2022,12067.13,12057.47,16434.85,343.46,544.32,-1373.98,-4512.27,-4512.27,-5886.25,-5341.93,-4998.47,1709.81,-44.9,992.35,,583.45,1020088097,59517.040019,61.009338,9.56329,1458,70051.590019,12.27,2.178729,-0.25482541344281856
Jindal Worldwide Ltd.,Cloth,INE247D01039,JINDWORLD,31-12-2022,415.58,413.51,416.16,10.58,6.56,5.26,17.26,17.26,22.52,29.08,39.66,35.28,0.86,29.42,,396.05,200520400,7941.610442,6.147504,64.424519,631,8505.330442,18.37,1.145549,-0.32408738057560427
Johnson Controls-Hitachi Air Conditioning India Ltd.,Air-conditioners & refrigerators,INE782A01015,JCHAC,31-12-2022,521.3,518.26,636.35,1.59,19.6,-8.98,-26.16,-26.16,-35.14,-15.54,-13.95,-33.23,-9.6,1484.05,,1072.2,27190884,2915.406582,-24.986315,30.7236545,220,2997.196582,87.15,0.815742,-0.026038573553391477
Jubilant Foodworks Ltd.,Bakery products,INE797F01020,JUBLFOOD,31-12-2022,1325.98,1316.64,1243.14,50.13,129.79,30.85,88.57,88.57,119.42,249.21,299.34,169.55,1.34,563.75,,487.1,659845200,32141.059692,7.34051,66.357791,5005,33562.119692,60.29,0.896864,0.26079189161249283
Jubilant Ingrevia Ltd.,Drugs & pharmaceuticals,INE0BY001018,JUBLINGREA,31-12-2022,1096.94,1090.51,1084.05,11.19,29.38,26.63,67.94,67.94,94.57,123.95,135.14,105.76,4.26,707.3,,488.55,159281139,7781.680046,18.674527,26.161305,2749,8220.430046,39.53,1.306438,-0.19195911292555537
Jubilant Pharmova Ltd.,Other chemical products,INE700A01033,JUBLPHARMA,31-12-2022,190.6,182.8,238.3,5.5,11.6,-5.3,-5.9,-5.9,-11.2,0.4,5.9,-5.7,-0.37,1086.85,,351.95,159281139,5605.899687,5.783485,60.854317,462,5762.969687,37.65,1.394301,-0.24540235502819857
Jupiter Wagons Ltd.,Other transport equipment & ancillaries,INE209L01016,JWL,31-12-2022,646.35,644.43,579.49,7.43,6.14,22.66,46.38,46.38,69.04,75.18,82.61,76.47,1.19,260.1,,123.0,387447419,4765.603254,2.872132,42.825335,2039,4835.933254,22.75,1.589146,-0.21305884132194208
Just Dial Ltd.,Business services & consultancy,INE599M01018,JUSTDIAL,31-12-2022,292.61,221.37,217.34,2.25,8.47,11.72,75.27,75.27,86.99,95.46,97.71,89.89,8.93,730.0,,631.8,84305952,5326.450047,11.417936,55.333992,1674,4694.940047,60.13,1.275874,-0.22231802174705587
Jyothy Labs Ltd.,Personal & home care products,INE668F01031,JYOTHYLAB,31-12-2022,626.91,611.67,522.55,3.21,12.15,16.82,67.39,67.39,84.21,96.36,99.57,87.42,1.84,281.0,,205.1,367208644,7531.449288,5.253417,39.041259,633,7492.009288,60.31,0.799811,0.16766831650016678
Jyoti Resins & Adhesives Ltd.,Other chemical products,INE577D01013,,31-12-2022,66.78,66.61,47.52,6.715,0.35,4.0,12.15,12.15,16.15,16.5,16.5,16.15,10.12,1111.2,,1127.55,12000000,1353.06,30.783333,36.628587,739,1328.91,37.65,0.724745,-0.24540235502819857
K C P Ltd.,Cement,INE805C01028,KCP,31-12-2022,397.42,392.59,423.39,8.11,16.79,2.86,-7.8,-7.8,-4.94,11.85,19.96,3.17,-0.6,179.2,,103.7,128921160,1336.912429,-1.300795,30.7236545,412,1444.652429,48.83,1.130236,-0.2010629948632316
K D D L Ltd.,Other consumer goods,INE291D01011,KDDL,31-12-2022,79.29,76.13,68.84,2.23,3.17,3.96,11.63,11.63,15.59,18.76,20.99,17.82,9.13,2300.55,,1041.35,12677823,1320.205098,51.720236,20.134285,480,1379.755098,43.38,1.251501,-0.2617559110787527
K E C International Ltd.,Other construction & allied activities,INE389H01022,KEC,31-12-2022,3870.77,3867.52,3831.71,123.09,32.32,13.0,14.75,14.75,27.75,60.07,183.16,150.84,0.57,712.4,,455.7,257088370,11715.517021,10.483944,43.466468,1721,14033.207021,-45.57,1.188675,-0.22243749499819718
K I O C L Ltd.,Minerals,INE880L01014,KIOCL,31-12-2022,307.11,287.89,323.77,2.34,7.15,13.14,-33.88,-33.88,-33.88,-26.73,-24.39,-31.54,-0.56,335.7,,211.05,607751096,12826.586881,0.462854,455.97536,488,11844.776881,12.22,1.411626,-0.19527960896831384
K N R Constructions Ltd.,Infrastructural construction,INE634I01029,KNRCON,31-12-2022,974.05,830.21,812.21,15.96,38.09,57.22,161.84,161.84,219.06,257.15,273.11,123.82,5.75,146.3,,247.1,281234600,6949.306966,13.441092,18.383924,1097,6782.306966,-7779.86,1.0537,-0.2879215797575277
K P I Green Energy Ltd.,Industrial construction,INE542W01025,KPIGREEN,31-12-2022,140.05,139.68,112.92,9.1,4.82,6.31,27.55,27.55,33.86,38.68,47.78,42.96,7.62,418.4,,473.7,36134000,1711.66758,22.701611,20.866361,2585,2045.27758,63.05,0.624592,-0.2658631511792221
K P I T Technologies Ltd.,Computer software,INE04I401011,KPITTECH,31-12-2022,401.48,379.94,335.03,3.75,23.97,19.16,66.45,66.45,85.61,109.58,113.33,89.36,2.46,1224.35,,762.35,274143808,20899.353203,10.230032,74.520782,28145,20507.443203,29.01,1.259685,-0.22129977102466347
K P R Mill Ltd.,Diversified cotton textile,INE930H01031,KPRMILL,31-12-2022,1160.01,1148.39,1006.96,5.26,19.23,31.77,101.97,101.97,133.74,152.97,158.23,139.0,2.98,974.85,,528.65,341814000,18069.99711,21.343187,24.769029,566,18352.20711,34.41,1.145398,-0.12798722756809205
K R B L Ltd.,Other agricultural products,INE001B01026,KRBL,31-12-2022,1553.86,1535.99,1629.44,3.45,18.74,69.09,205.27,205.27,274.36,293.1,296.55,277.81,8.72,394.8,,393.4,235389892,9260.238351,29.171176,13.485915,753,8996.448351,20.22,1.231742,-0.2965763986089119
K S B Ltd.,General purpose machinery,INE999A01023,KSB,31-12-2022,533.3,524.6,470.6,2.5,12.0,16.8,54.2,54.2,71.0,83.0,85.5,73.5,15.57,768.95,,1807.7,34807844,6292.21396,50.841988,35.555258,278,6135.99396,40.23,0.883168,-0.22094579296060995
Kabra Extrusion Technik Ltd.,Industrial machinery,INE900B01029,KABRAEXTRU,31-12-2022,207.86,206.85,191.72,2.46,3.43,5.41,11.92,11.92,17.33,20.76,23.22,19.79,3.72,218.7,,550.8,33591106,1850.198118,11.264887,48.895299,1832,1876.428118,43.3,1.249454,-0.22502606240929363
Kajaria Ceramics Ltd.,Ceramic products,INE217B01036,KAJARIACER,31-12-2022,999.16,986.47,966.93,4.45,23.39,26.05,75.64,75.64,101.69,125.08,129.53,106.14,4.75,1054.95,,1052.2,159232550,16754.448911,21.395123,49.179432,1183,16516.928911,71.59,1.070274,-0.13587867522638308
Kalpataru Projects Intl. Ltd.,Infrastructural construction,INE220B01022,KPIL,31-12-2022,3518.0,3509.0,3394.0,74.0,75.0,54.0,111.0,111.0,165.0,240.0,314.0,239.0,6.81,1152.45,,515.5,162446152,8374.099136,35.550857,14.500353,1024,10207.639136,-7779.86,1.30198,-0.2879215797575277
Kalyan Jewellers India Ltd.,Gems & jewellery,INE303R01014,KALYANKJIL,31-12-2022,3228.4,3218.74,3403.78,59.35,46.19,46.44,133.2,133.2,179.64,225.83,285.18,238.99,1.29,484.7,,118.05,1030053057,12159.776338,3.577389,32.998932,9267,15080.336338,72.03,1.380039,-0.24549709367323447
Kalyani Steels Ltd.,Steel,INE907A01026,KSL,31-12-2022,462.71,446.53,408.94,8.61,12.4,12.86,39.08,39.08,51.94,64.34,72.95,60.55,8.96,736.8,,332.7,43653060,1452.337306,35.846284,9.281297,251,916.337306,13.6,1.710358,-0.3195550430372759
Kama Holdings Ltd.,Other fund based financial services,INE411F01010,,31-12-2022,0.33,0.07,0.54,6.715,0.02,-0.01,-0.21,-0.21,-0.22,-0.2,-0.2,-0.3,-0.32,2835.25,,12591.75,6452615,8124.971493,411.755544,30.580645,144,8065.431493,33.67,0.880599,-0.23981065613779393
Kansai Nerolac Paints Ltd.,Paints & varnishes,INE531A01024,KANSAINER,31-12-2022,1725.68,1717.07,1610.53,2.47,42.13,40.23,112.28,112.28,152.51,194.64,197.11,154.98,2.08,222.75,,423.35,538919720,22815.166346,6.992693,60.541771,1383,22833.166346,65.91,0.93792,0.021625188158417272
Karnataka Bank Ltd.,Banking services,INE614B01018,KTKBANK,31-12-2022,2055.31,1850.8,1754.63,1016.04,13.67,66.32,300.68,300.68,367.0,367.0,1383.04,1383.04,9.65,200.5,,143.45,311942604,4474.816654,30.11772,4.762977,1344,2351.906654,18.44,1.337243,0.17737526706292647
Karur Vysya Bank Ltd.,Banking services,INE036D01028,KARURVYSYA,31-12-2022,2012.71,1695.22,1723.42,806.22,13.67,35.57,289.29,289.29,324.86,324.86,1131.08,1131.08,3.61,252.6,,107.25,801842640,8599.762314,11.984147,8.949323,2439,5012.682314,18.44,1.580394,0.17737526706292647
Kaveri Seed Co. Ltd.,Other agricultural products,INE455I01029,KSCL,31-12-2022,156.03,123.49,173.77,0.06,5.01,1.34,37.54,37.54,38.88,43.89,43.95,38.94,6.57,931.1,,526.35,55921829,2943.445469,48.283471,10.901246,889,2930.075469,20.22,1.097178,-0.2965763986089119
Kaynes Technology India Ltd.,Other electronics,INE918Z01012,KAYNES,31-12-2022,279.51,276.0,293.14,9.06,4.41,7.07,20.7,20.7,27.77,32.18,41.24,36.83,4.32,4184.85,,772.55,58142496,4491.798528,10.656577,72.495134,1897,4661.218528,48.08,1.445887,-0.11779069539848289
Kei Industries Ltd.,Wires & cables,INE878B01027,KEI,31-12-2022,1798.09,1784.32,1687.86,7.77,14.42,45.15,128.61,128.61,173.76,188.18,195.95,181.53,14.26,4281.15,,1616.95,90192438,14583.666262,50.227049,32.192813,3601,14578.586262,29.86,1.44954,-0.19300179388073796
Kennametal India Ltd.,Machine tools,INE717A01029,KENNAMET,31-12-2022,276.0,274.8,249.1,6.715,9.3,7.7,21.9,21.9,29.6,38.9,38.9,29.6,9.96,2151.95,,2181.2,21978240,4793.893709,47.911025,45.526056,276,4730.293709,21.13,0.851797,-0.21408882058364617
Kesoram Industries Ltd.,Other fund based financial services,INE087A01019,KESORAMIND,31-12-2022,944.47,929.17,998.49,100.1,19.34,-162.93,-27.19,-27.19,-190.12,-170.78,-70.68,83.05,-0.88,10.39,,57.15,310663663,1775.442834,1.665789,34.308074,958,3338.882834,48.83,1.712159,-0.23981065613779393
Kewal Kiran Clothing Ltd.,Readymade garments,INE401H01017,KKCL,31-12-2022,205.64,199.09,199.3,1.7,2.26,9.18,26.98,26.98,36.16,38.42,40.12,37.86,4.38,489.15,,438.35,61625185,2701.339984,18.119215,24.192549,717,2740.989984,42.45,0.738904,-0.28546545647070276
Keystone Realtors Ltd.,Housing construction,INE263M01029,RUSTOMJEE,31-12-2022,30.39,2.72,127.06,2.23,1.03,4.21,17.56,17.56,21.77,22.8,25.03,24.0,1.63,527.0,,493.6,113877423,5620.989599,5.601637,88.117097,1249,6334.469599,83.37,0.884057,-0.2017080929626154
Kfin Technologies Ltd.,Business services & consultancy,INE138Y01010,KFINTECH,31-12-2022,187.41,181.24,134.07,2.64,11.68,18.22,53.34,53.34,71.56,83.24,85.88,74.2,3.18,1079.75,,319.55,167568883,5354.663656,12.829351,24.907729,1370,5388.403656,60.13,1.149549,-0.22231802174705587
Kingfa Science & Technology (India) Ltd.,"Plastic furniture, floorings & miscellaneous items",INE473D01015,KINGFA,31-12-2022,341.6,340.38,334.82,4.56,3.57,6.89,20.23,20.23,27.12,30.69,35.25,31.68,16.71,4002.2,,1319.1,12110461,1597.490911,40.634291,32.462729,73,1613.990911,52.52,1.247204,-0.21696835575475118
Kiri Industries Ltd.,Dyes & pigments,INE415I01015,KIRIINDUS,31-12-2022,139.57,132.59,171.87,1.74,11.14,-0.27,-35.86,-35.86,-36.13,-24.99,-23.25,-34.39,-6.92,569.05,,282.95,51834211,1466.649,-21.424075,30.7236545,1693,1558.139,75.2,1.227443,-0.25141337692746524
Kirloskar Brothers Ltd.,General purpose machinery,INE732A01036,KIRLOSBROS,31-12-2022,615.8,611.9,577.9,3.5,10.7,14.9,44.5,44.5,59.4,70.1,73.6,68.2,5.6,1647.2,,322.75,79408926,2562.923087,18.80645,17.161665,1046,2743.163087,40.23,1.365839,-0.22094579296060995
Kirloskar Ferrous Inds. Ltd.,Other ferrous metal products,INE884B01025,KIRLFER,31-12-2022,1078.97,1075.09,982.51,22.03,26.45,36.15,103.0,103.0,139.15,165.6,187.63,160.57,7.42,436.4,,379.2,138872694,5266.052556,23.398408,16.206231,1582,6189.492556,12.27,1.185644,-0.25482541344281856
Kirloskar Industries Ltd.,Other fund based financial services,INE250A01039,KIRLOSIND,31-12-2022,12.71,5.71,8.15,0.38,0.67,2.33,4.56,4.56,6.89,7.56,7.94,7.27,4.63,3265.0,,1949.05,9883900,1926.421529,67.797125,28.748269,94,-789.32847,33.67,1.118193,-0.23981065613779393
Kirloskar Oil Engines Ltd.,Engines,INE146L01010,KIRLOSENG,31-12-2022,1005.61,1000.13,940.47,1.9,21.23,23.55,68.19,68.19,91.74,112.97,114.87,93.64,4.71,1247.2,,312.0,144704590,4514.783208,18.172195,17.169087,1413,4580.913208,34.43,1.122925,-0.25261377535247476
Kirloskar Pneumatic Co. Ltd.,General purpose machinery,INE811A01020,KIRLPNU,31-12-2022,314.49,312.28,281.73,0.06,8.52,10.77,32.85,32.85,43.62,52.14,52.2,43.68,5.09,1038.3,,568.75,64619490,3675.233494,19.893379,28.589914,1284,3452.013494,40.23,1.102036,-0.22094579296060995
Kitex Garments Ltd.,Readymade garments,INE602G01020,KITEX,31-12-2022,71.66,68.22,87.26,1.86,5.23,1.95,-6.65,-6.65,-4.7,0.53,2.39,-2.84,-1.0,188.65,,179.6,66500000,1194.34,14.932331,12.027593,327,1153.8,42.45,1.380039,-0.28546545647070276
Knowledge Marine & Engg. Works Ltd.,Business services & consultancy,INE0CJD01029,KMEW,,541.385,530.27,505.885,6.715,13.67,13.14,39.055,39.475,52.35,71.16499999999999,83.03,65.66,3.42,3284.65,,1217.0,10801000,1314.4817,36.265161,33.558379,38,1315.1217,60.13,1.054285,-0.22231802174705587
Kolte Patil Developers Ltd.,Housing construction,INE094I01018,KOLTEPATIL,31-12-2022,344.78,340.97,359.9,9.52,2.71,-2.36,-15.12,-15.12,-17.48,-14.77,-5.25,-7.96,-1.99,390.5,,282.55,76004409,2147.504576,-3.610317,30.7236545,909,2509.564576,83.37,1.461343,-0.2017080929626154
Kotak Mahindra Bank Ltd.,Banking services,INE237A01028,KOTAKBANK,31-12-2022,10984.53,8998.61,8192.65,3345.69,13.67,909.13,2791.88,2791.88,3701.01,3701.01,7046.7,7009.1,14.06,2159.5,,1730.25,1986442161,343704.154907,47.897342,36.124134,15151,327246.514907,18.44,0.882253,0.17737526706292647
Kovai Medical Center & Hospital Ltd.,Health services,INE177F01017,KOVAI,31-12-2022,268.13,264.43,236.99,10.11,22.31,11.29,31.14,31.14,42.43,64.74,74.85,52.87,28.45,5830.45,,1749.95,10942262,1914.841139,94.980361,18.424335,63,2267.391139,69.86,0.639216,-0.1320225855676107
Krishna Institute Of Medical Sciences Ltd.,Health services,INE967H01025,KIMS,31-12-2022,290.69,283.51,226.5,0.24,11.35,21.1,64.47,64.47,85.57,96.92,97.16,85.81,8.06,639.6,,1487.3,80027787,11902.532761,29.518497,50.385356,368,11740.552761,69.86,1.31554,-0.1320225855676107
Krsnaa Diagnostics Ltd.,Health services,INE08LI01020,KRSNAA,31-12-2022,120.29,115.74,103.42,2.26,13.9,5.25,16.87,16.87,22.12,36.02,38.28,24.43,5.37,720.6,,429.75,31397613,1349.312419,22.613184,19.0044,4342,1044.872419,69.86,1.166925,-0.1320225855676107
Kuantum Papers Ltd.,Paper & newsprint,INE529I01021,KUANTUM,31-12-2022,351.81,350.59,290.53,17.52,11.4,20.04,57.28,57.28,77.32,88.72,106.24,94.84,6.56,93.29,,133.95,87263630,1168.896324,15.967706,8.388807,408,1927.486324,15.79,1.406197,-0.3489624638386909
L & T Finance Ltd.,Other fund based financial services,INE498L01015,LTF,31-12-2022,6089.09,3455.2,5665.26,1500.69,27.92,90.76,423.83,423.83,514.59,542.51,2043.2,-559.81,1.71,300.45,,88.9,2479671117,22044.27623,-7.472362,30.7236545,2933,22005.61623,33.67,1.939349,-0.23981065613779393
L & T Technology Services Ltd.,Business services & consultancy,INE010V01017,LTTS,31-12-2022,1995.5,1922.5,1714.6,10.6,52.3,133.8,280.9,280.9,414.7,467.0,477.6,425.3,26.6,4513.8,,3335.45,105601572,35222.876333,101.494701,32.863292,2926,33250.776333,60.13,0.973945,-0.22231802174705587
L G Balakrishnan & Bros. Ltd.,Other ferrous metal products,INE337A01034,LGBBROSLTD,31-12-2022,558.46,551.0,515.48,1.59,18.34,20.65,70.87,70.87,91.52,109.86,111.45,91.6,22.58,1842.35,,693.55,31392416,2177.221012,83.252592,8.330672,589,1985.051012,12.27,1.476752,-0.25482541344281856
L I C Housing Finance Ltd.,Housing finance services,INE115A01026,LICHSGFIN,31-12-2022,5876.03,5870.84,5395.73,4240.95,16.28,112.71,480.3,480.3,593.01,609.29,4850.24,4833.96,8.73,532.25,,401.0,550063000,22057.5263,51.415202,7.79925,1881,245572.0363,33.51,1.438877,-0.16633546810173813
L M W Ltd.,Industrial machinery,INE269B01029,LMW,31-12-2022,1210.35,1176.1,1132.2,6.715,19.93,23.59,104.96,104.96,128.55,148.48,148.48,128.55,98.25,14931.0,,11271.15,10683000,12040.969545,321.641861,35.042547,485,10537.649545,43.3,0.982326,-0.22502606240929363
L T Foods Ltd.,Other agricultural products,INE818H01020,LTFOODS,31-12-2022,888.29,881.23,847.65,6.0,7.37,13.04,31.95,31.95,44.99,52.36,58.36,50.99,1.0,401.35,,115.05,319844780,3679.814194,3.861873,29.791242,2218,3961.534194,20.22,1.299703,-0.2965763986089119
La Opala R G Ltd.,Other consumer goods,INE059D01020,LAOPALA,31-12-2022,134.72,126.37,98.91,2.26,5.59,11.95,34.64,34.64,46.59,52.18,54.44,48.85,3.12,203.05,,374.45,111000000,4156.395,10.013514,37.394467,661,4166.515,43.38,0.849738,-0.2617559110787527
Lancer Container Lines Ltd.,Shipping transport services,INE359U01028,LANCER,31-12-2022,138.02,136.07,129.1,3.92,4.37,2.32,9.03,9.03,11.35,15.72,19.64,15.27,0.43,13.31,,184.5,60282240,1112.207328,7.277434,25.352344,1499,1108.797328,6.64,1.117947,-0.2678255080248566
Landmark Cars Ltd.,Wholesale trading,INE559R01029,LANDMARK,31-12-2022,126.14,124.22,124.13,1.62,7.64,4.21,13.55,13.55,17.76,25.4,27.02,19.38,3.67,506.05,,625.35,39592118,2475.893099,8.047056,77.711648,1685,2594.913099,116.56,0.969134,-0.23739051576619835
Larsen & Toubro Ltd.,Industrial construction,INE018A01030,LT,31-12-2022,28618.37,27785.41,27373.68,508.11,334.76,481.5,1825.44,1825.44,2306.94,2641.7,3149.81,2815.05,12.99,4074.2,,2125.1,1405364127,298653.930629,53.815804,39.4884,8749,126266.320629,63.05,1.108823,-0.2658631511792221
Latent View Analytics Ltd.,Diversified non-financial services,INE0I7C01011,LATENTVIEW,31-12-2022,90.98,68.46,53.62,0.69,1.91,9.69,37.36,37.36,47.05,48.96,49.65,47.74,1.85,480.6,,369.05,203134017,7496.660897,5.738576,64.310379,818,6790.910897,176.5,1.703154,-0.17902845447488475
Laurus Labs Ltd.,Drugs & pharmaceuticals,INE947Q01028,LAURUSLABS,31-12-2022,1503.68,1500.7,1202.99,39.26,78.48,71.29,199.05,199.05,270.34,348.82,388.08,309.6,3.71,1045.3,,330.4,538650925,17797.026562,16.304066,20.264884,10593,19409.566562,39.53,0.917086,-0.19195911292555537
Laxmi Organic Inds. Ltd.,Organic chemicals,INE576O01020,LXCHEM,31-12-2022,644.2,636.01,624.71,5.46,18.42,8.42,34.46,34.46,42.88,61.3,66.76,47.93,1.3,171.45,,266.4,265166424,7064.033535,4.559024,58.433564,3826,7010.613535,41.8,1.193965,-0.1787325857282407
Lemon Tree Hotels Ltd.,Hotels & restaurants,INE970X01018,LEMONTREE,31-12-2022,82.75,81.72,59.07,11.17,5.04,10.01,23.68,23.68,33.69,38.73,49.9,44.86,0.3,159.85,,76.4,792246464,6052.762985,0.566238,134.925613,4009,6544.972985,74.95,1.137418,-0.18801789305244987
Life Insurance Corpn. Of India,Insurance services,INE0J1Y01017,LICI,31-12-2022,203301.2,111787.6,190183.83,6.715,13.67,21.79,39.055,6334.2,13139.16,13139.16,13139.16,-6131.68,10.01,852.5,,653.6,6324997701,413401.849737,40.214987,16.252647,4922,5158.883983,22.59,0.58772,0.677920965378867
Linde India Ltd.,Inorganic chemicals,INE473A01011,LINDEINDIA,31-12-2022,724.7,697.0,615.07,1.11,48.11,33.13,113.19,113.19,146.32,194.43,195.54,147.43,13.27,5903.35,,3313.1,85284223,28255.515922,51.243945,64.653493,409,27291.955922,39.65,1.124869,-0.17966830745747447
Lloyds Engineering Works Ltd.,Other ferrous metal products,INE093R01011,LLOYDSENGG,31-12-2022,59.5,58.41,99.45,0.87,0.63,6.7,12.78,12.78,19.48,20.11,20.98,20.35,0.13,56.19,,23.2,988698382,2293.780246,0.343684,67.503833,4085,2307.360246,12.27,1.124645,-0.25482541344281856
Lloyds Enterprises Ltd.,Wholesale trading,INE080I01025,LLOYDSENT,31-12-2022,1.81,530.27,0.54,0.11,13.67,13.14,1.27,1.27,1.27,1.27,1.38,1.38,0.01,70.85,,8.95,1272126621,1138.553326,1.216467,7.357372,1371,251.043326,116.56,0.045653,-0.23739051576619835
Lloyds Metals & Energy Ltd.,Minerals,INE281B01032,LLOYDSME,31-12-2022,1029.4,999.62,771.78,21.02,5.69,13.14,230.03,230.03,230.03,235.72,256.74,251.05,5.19,1301.6,,290.1,444824220,12904.350622,15.921345,18.220822,2876,12989.070622,12.22,1.148733,-0.19527960896831384
Lodha Developers Ltd.,Housing construction,INE670K01029,LODHA,31-12-2022,1836.19,1670.58,1456.09,132.6,33.75,-28.88,380.1,380.1,351.22,384.97,517.57,483.82,3.98,1089.45,,1021.7,481745425,49219.930072,4.203673,243.049381,1014,48818.430072,83.37,0.751266,-0.2017080929626154
Ltimindtree Ltd.,Computer software,INE214T01019,LTIM,31-12-2022,8480.0,8325.8,7516.5,36.4,163.1,295.2,963.5,963.5,1258.7,1421.8,1458.2,1295.1,32.57,6196.15,,4368.9,295813429,129237.928996,167.805093,26.035563,2272,123852.828996,29.01,0.752471,-0.22129977102466347
Lumax Auto Technologies Ltd.,Other automobile ancillaries,INE872H01027,LUMAXTECH,31-12-2022,339.54,330.99,323.86,2.72,7.92,6.17,17.53,17.53,23.7,31.62,34.34,26.57,2.57,1540.4,,224.8,68157705,1532.185208,9.87856,22.756352,128,1522.285208,38.68,1.673361,-0.25847999501499275
Lumax Industries Ltd.,Other automobile ancillaries,INE162B01018,LUMAXIND,31-12-2022,580.74,579.42,574.03,7.76,19.81,8.29,21.77,21.77,30.06,49.87,57.63,37.82,23.29,5597.7,,1687.6,9347732,1577.523252,83.378514,20.240226,103,1961.443252,38.68,1.188036,-0.25847999501499275
Lupin Ltd.,Drugs & pharmaceuticals,INE326A01037,LUPIN,31-12-2022,2883.32,2861.11,2871.84,30.75,134.03,27.05,40.4,40.4,67.45,201.48,232.23,98.2,0.89,2125.7,,737.95,454875499,33567.537449,11.905895,61.9819,3692,34251.887449,39.53,0.706665,-0.19195911292555537
Lux Industries Ltd.,Readymade garments,INE150G01020,LUXIND,31-12-2022,461.35,457.92,383.31,6.54,4.61,7.39,19.62,19.62,27.01,31.62,38.16,33.57,6.52,1117.05,,1465.7,29987681,4395.294404,61.555277,23.811119,934,4581.074404,42.45,1.083991,-0.28546545647070276
M A S Financial Services Ltd.,Other fund based financial services,INE348L01012,MASFIN,31-12-2022,251.5,250.86,200.95,127.65,0.62,17.06,50.55,50.55,67.61,68.23,195.88,195.23,9.25,316.3,,791.5,54662043,4326.500703,34.301682,23.07467,590,7778.530703,33.67,1.194126,-0.23981065613779393
M M Forgings Ltd.,Castings & forgings,INE227C01017,MMFL,31-12-2022,366.64,361.08,344.35,7.61,17.3,13.25,33.86,33.86,47.11,64.41,72.02,54.72,14.03,366.4,,875.0,24140800,2112.32,43.627386,20.05621,97,2759.61,31.58,1.242195,-0.2665632139865167
